timestamp,force_x,force_y,force_z,torque_x, torque_y, torque_z,tibia_x, tibia_y, tibia_z,tibia_qx, tibia_qy, tibia_qz, tibia_qw,femur_x, femur_y, femur_z,femur_qx, femur_qy, femur_qz, femur_qw,sensor_x, sensor_y, sensor_z,sensor_qx, sensor_qy, sensor_qz, sensor_qw
1751360261.701902,-5.6332,4.18337,1.03984,-0.022679,0.058838,0.087442,-0.0745391,0.23655,0.0728443,0.142187,0.489154,-0.50942,0.693543,0.0907613,0.350239,0.481506,0.598359,0.59607,-0.4664,0.262941,-0.0357353,0.159446,0.0708664,-0.118099,0.297006,0.826027,0.464241,
1751360261.711869,-5.60093,4.19452,1.01341,-0.02228,0.058246,0.087834,-0.0748414,0.236793,0.072962,0.144003,0.48988,-0.512867,0.690108,0.0907622,0.350238,0.481504,0.598367,0.596044,-0.466436,0.262917,-0.0357289,0.159392,0.0708342,-0.117343,0.296678,0.826,0.46469,
1751360261.721893,-5.65968,4.18001,1.04654,-0.022781,0.059243,0.087544,-0.0748466,0.236786,0.0729637,0.143957,0.489889,-0.512877,0.690103,0.0907662,0.350238,0.481503,0.598354,0.596082,-0.466417,0.262893,-0.0357309,0.159432,0.0708333,-0.117572,0.296859,0.826147,0.464256,
1751360261.731966,-5.54321,4.19516,1.00068,-0.022787,0.057507,0.087482,-0.0748466,0.236786,0.0729637,0.143957,0.489889,-0.512877,0.690103,0.0907662,0.350238,0.481503,0.598354,0.596082,-0.466417,0.262893,-0.0357309,0.159432,0.0708333,-0.117572,0.296859,0.826147,0.464256,
1751360261.741938,-5.63174,4.20885,1.04629,-0.022288,0.059077,0.087497,-0.0748204,0.236761,0.0729347,0.144042,0.489781,-0.512309,0.690584,0.0907712,0.350232,0.481499,0.598378,0.596069,-0.466377,0.262942,-0.0357366,0.159439,0.0708637,-0.118028,0.297043,0.826006,0.464272,
1751360261.751873,-5.58856,4.18421,1.0202,-0.022675,0.058363,0.08751,-0.0748745,0.236756,0.072975,0.14398,0.489905,-0.513205,0.689843,0.090773,0.350238,0.4815,0.598387,0.596066,-0.466379,0.262924,-0.0357389,0.159432,0.0708569,-0.118039,0.29698,0.826025,0.464277,
1751360261.761965,-5.5784,4.20359,1.0202,-0.022487,0.058258,0.087569,-0.0748433,0.236792,0.0729602,0.144009,0.489895,-0.51285,0.690108,0.0907825,0.350233,0.481493,0.598372,0.596067,-0.466383,0.262947,-0.0357373,0.159425,0.0708298,-0.117579,0.296859,0.826085,0.464363,
1751360261.771871,-5.58538,4.17201,1.03942,-0.022579,0.057956,0.087676,-0.0748686,0.236762,0.0729775,0.143692,0.48982,-0.513366,0.689844,0.0907912,0.350235,0.4815,0.598439,0.596084,-0.466227,0.263033,-0.0357281,0.159443,0.0708608,-0.118048,0.29703,0.82599,0.464304,
1751360261.781979,-5.55873,4.24936,1.03917,-0.021398,0.058435,0.08775,-0.0748107,0.23677,0.0729371,0.144014,0.489772,-0.512363,0.690556,0.0907875,0.350234,0.481505,0.598484,0.596031,-0.466302,0.262919,-0.0357265,0.159445,0.0708605,-0.11805,0.29707,0.825976,0.464302,
1751360261.791907,-5.56861,4.16681,1.0455,-0.022272,0.057655,0.087747,-0.0745291,0.236588,0.072871,0.142773,0.489445,-0.509641,0.693055,0.0907897,0.350226,0.481511,0.598612,0.595964,-0.466342,0.262708,-0.0357908,0.159434,0.0709117,-0.118516,0.296218,0.826392,0.463989,
